,0
"('frequent', 'drop', 'avs', 'switch')",1
"('provide', 'utilization', 'report', 'newly')",1
"('ip', 'dhcp', 'server', 'revert')",1
"('john', 'have', 'issue', 'lanwlan')",1
"('device', 'th', 'nov', 'need')",11
"('care', 'ticket', 'health', 'check')",1
"('hiplease', 'assist', 'employee', 'queryregard')",2
"('swithc', 'power', 'supply', 'show')",1
"('assistance', 'install', 'ms', 'office')",2
"('vpn', 'slow', 'wipro', 'network')",1
"('not', 'display', 'current', 'project')",1
"('log', 'check', 'cpu', 'utilization')",1
"('mcafee', 'asking', 'adminstator', 'password')",1
"('voice', 'vlan', 'port', 'follow')",1
"('help', 'user', 'troubleshoot', 'symantec')",7
"('power', 'supply', 'show', 'user')",1
"('static', 'route', 'sccmhdc', 'location')",1
"('server', 'creation', 'sonama', 'project')",1
"('server', 'bangalore', 'location', 'need')",1
"('need', 'enable', 'capture', 'traffic')",1
"('priority', 'customer', 'requirement', 'finalize')",1
"('fw', 'gts', 'indiadomestic', 'request')",1
"('face', 'issue', 'internet', 'explorer')",1
"('need', 'add', 'laptop', 'wipro')",4
"('class', 'pdc', 'packet', 'shaper')",1
"('gts', 'indiadomestic', 'request', 'create')",1
"('proceed', 'analysis', 'fyi', 'wtcdcbra')",1
"('network', 'face', 'issue', 'needful')",1
"('ip', 'segment', 'maxi', 'ss')",1
"('need', 'allow', 'access', 'ec')",1
"('ip', 'address', 'exaclty', 'locate')",1
"('major', 'issue', 'singapore', 'location')",1
"('user', 'want', 'fetch', 'backup')",1
"('asset', 'pdc', 'location', 'release')",1
"('approve', 'let', 'know', 'connect')",1
"('ip', 'send', 'log', 'syslog')",1
"('laptop', 'need', 'configured', 'policy')",1
"('remotely', 'work', 'laptop', 'rebuild')",1
"('odc', 'citi', 'loc', 'pritech')",1
"('-PRON-', 'would', 'chennai', 'primary')",1
"('hp', 'laptop', 'adaptor', 'lose')",1
"('know', 'mention', 'ip', 'address')",1
"('laptop', 'add', 'domaincreat', 'user')",1
"('shipment', 'label', 'create', 'tony')",1
"('enable', 'email', 'forward', 'not')",1
"('failover', 'testing', 'charle', 'schwab')",1
"('trang', 'labplease', 'assign', 'ticket')",1
"('room', 'audit', 'ntc', 'room')",1
"('kindly', 'check', 'vpn', 'connectivity')",1
"('ms', 'visio', 'installation', 'activation')",1
"('not', 'close', 'ticket', 'resolve')",1
"('latency', 'destinationpdc', 'raise', 'tt')",1
"('project', 'bit', 'installation', 'package')",2
"('access', 'server', 'check', 'asap')",1
"('need', 'bitlocker', 'recovery', 'key')",2
"('not', 'concern', 'change', 'route')",1
"('location', 'give', 'hard', 'disk')",1
"('mac', 'address', 'bbdec', 'ip')",1
"('-PRON-', 'would', 'configuration', 'outlook')",1
"('wipro', 'bb', 'mdc', 'monitoring')",1
"('port', 'share', 'perform', 'activity')",1
"('pasword', 'asking', 'password', 'wile')",1
"('kindly', 'reach', 'yser', 'user')",1
"('access', 'wipro', 'sap', 'coe')",1
"('odc', 'dw', 'check', 'issue')",1
"('share', 'bw', 'source', 'ip')",2
"('window', 'can', 'not', 'contact')",1
"('require', 'port', 'opening', 'detail')",1
"('lock', 'behalf', 'user', 'schemb')",1
"('campbell', 'odc', 'kindly', 'look')",1
"('destination', 'proxy', 'similar', 'case')",1
"('mac', 'binding', 'schwab', 'odc')",1
"('user', 'profile', 'da', 'instal')",1
"('kindly', 'help', 'get', 'january')",1
"('loc', 'pritech', 'park', 'th')",1
"('ur', 'user', 'not', 'respond')",1
"('ie', 'degradation', 'outlook', 'configuration')",1
"('need', 'console', 'emc', 'fireall')",1
"('ms', 'office', 'installation', 'outook')",1
"('kindly', 'check', 'ur', 'user')",1
"('bit', 'lokcer', 'encryption', 'key')",1
"('need', 'allow', 'access', 'walmart')",1
"('newly', 'create', 'ps', 'class')",1
"('-PRON-', 'would', 'verizon', 'portal')",1
"('add', 'will', 'will', 'tp')",1
"('not', 'able', 'function', 'work')",1
"('da', 'class', 'utilization', 'report')",1
"('rdp', 'available', 'mention', 'ip')",1
"('trunk', 'encapsulation', 'dotq', 'switchport')",1
"('port', 'enable', 'schwab', 'odc')",1
"('mywipro', 'have', 'trouble', 'load')",1
"('kindly', 'share', 'citi', 'monthly')",1
"('lenovo', 'helix', 'laptop', 'fan')",1
"('kindly', 'access', 'ec', 'communication')",1
"('need', 'advertise', 'schwab', 'wifi')",1
"('mail', 'not', 'work', 'password')",2
"('gnoc', 'nso', 'pl', 'help')",1
"('resolve', 'issue', 'violate', 'transfer')",1
"('repeatedly', 'screen', 'pl', 'guide')",1
"('get', 'alert', 'find', 'attach')",1
"('log', 'behalf', 'user', 'vi')",1
"('log', 'ticket', 'isp', 'share')",1
"('stop', 'work', 'week', 'needful')",1
"('ecube', 'task', 'reflect', 'tms')",1
"('port', 'tcp', 'nat', 'ip')",2
"('need', 'add', 'device', 'itam')",1
"('ec', 'new', 'ip', 'address')",1
"('kindly', 'block', 'social', 'medium')",1
"('fw', 'ad', 'password', 'expiration')",1
"('utilization', 'report', 'ciena', 'odc')",1
"('cdc', 'vtp', 'switch', 'ip')",1
"('lync', 'not', 'work', 'internet')",1
"('need', 'alu', 'odc', 'bw')",1
"('pdc', 'packet', 'shaper', 'detail')",1
"('work', 'properly', 'user', 'request')",1
"('kindly', 'create', 'mb', 'bandwidth')",1
"('not', 'accessible', 'help', 'priority')",1
"('reset', 'ad', 'password', 'not')",2
"('fw', 'pend', 'user', 'ucpticket')",1
"('access', 'issue', 'transfer', 'resolve')",1
"('ip', 'reserve', 'not', 'correct')",1
"('network', 'card', 'lan', 'wifi')",1
"('need', 'important', 'message', 'not')",1
"('not', 'work', 'internet', 'explorer')",1
"('access', 'remotely', 'intranet', 'server')",1
"('event', 'primary', 'link', 'stable')",1
"('device', 'not', 'reachable', 'cdcsbcl')",1
"('device', 'kindly', 'check', 'update')",1
"('cdcsccmmp', 'ip', 'address', 'location')",2
"('qr', 'nw', 'ebc', 'pls')",1
"('fedex', 'label', 'return', 'sheet')",1
"('route', 'ticket', 'connect', 'support')",1
"('need', 'configuration', 'new', 'laptop')",2
"('location', 'server', 'segment', 'validation')",1
"('bcbe', 'user', 'trang', 'labplease')",1
"('need', 'base', 'os', 'installation')",1
"('binding', 'schwab', 'odc', 'ec')",1
"('need', 'add', 'user', 'wipro')",2
"('monthly', 'utilization', 'report', 'feb')",1
"('direct', 'access', 'not', 'work')",6
"('myappwiprocom', 'protel', 'not', 'open')",1
"('kindly', 'configure', 'snmp', 'ip')",2
"('screen', 'pl', 'guide', 'need')",1
"('device', 'not', 'reachable', 'ectmsrcl')",1
"('need', 'week', 'bandwidth', 'utilization')",1
"('dedicate', 'bandwidth', 'wipro', 'sap')",1
"('tape', 'frpm', 'td', 'tp')",1
"('need', 'update', 'wifi', 'antivirus')",1
"('da', 'show', 'action', 'need')",2
"('laptop', 'take', 'time', 'boot')",1
"('guest', 'internet', 'user', 'count')",1
"('get', 'message', 'repeatedly', 'screen')",1
"('itl', 'tranig', 'vedio', 'not')",1
"('device', 'health', 'checkup', 'require')",1
"('ip', 'address', 'location', 'server')",2
"('bandwidth', 'utilization', 'report', 'zna')",1
"('would', 'change', 'teresa', 'cullen')",1
"('escalate', 'client', 'meeting', 'bank')",1
"('fetch', 'backup', 'mail', 'server')",1
"('mouse', 'not', 'work', 'laptop')",2
"('help', 'user', 'reset', 'password')",46
"('address', 'login', 'issue', 'lm')",1
"('cdc', 'location', 'dhcp', 'issue')",1
"('class', 'eplus', 'ss', 'odc')",1
"('recovery', 'safeboot', 'try', 'follow')",1
"('kindly', 'find', 'cubicle', 'detail')",1
"('mississauga', 'office', 'printer', 'network')",2
"('wt', 'critical', 'device', 'th')",14
"('secondary', 'mbps', 'rename', 'new')",1
"('machine', 'window', 'azure', 'note')",1
"('need', 'new', 'vlan', 'storage')",1
"('ms', 'sql', 'software', 'share')",1
"('critical', 'project', 'requirement', 'request')",1
"('report', 'target', 'ss', 'vpn')",1
"('want', 'reset', 'ad', 'password')",2
"('project', 'wipro', 'harman', 'location')",1
"('internet', 'slowness', 'peel', 'park')",2
"('-PRON-', 'would', 'need', 'enable')",1
"('critical', 'device', 'st', 'nov')",1
"('laptop', 'keypad', 'issue', 'user')",1
"('laptop', 'battery', 'need', 'replace')",2
"('laptop', 'need', 'update', 'wifi')",1
"('pdc', 'ps', 'mb', 'bwcmr')",1
"('apple', 'cs', 'application', 'not')",1
"('alert', 'mention', 'device', 'intermittently')",1
"('crm', '-PRON-', 'would', 'cnm')",1
"('wifi', 'direct', 'access', 'issue')",1
"('pdc', 'location', 'release', 'confirm')",1
"('switchport', 'trunk', 'encapsulation', 'dotq')",1
"('odc', 'onsite', 'unable', 'connect')",1
"('like', 'enable', 'port', 'order')",1
"('report', 'find', 'detail', 'needful')",1
"('provide', 'utilization', 'report', 'week')",1
"('wtitms', 'vm', 'server', 'sl')",1
"('customer', 'vpn', 'slow', 'wipro')",1
"('issue', 'happen', 'location', 'end')",1
"('account', 'face', 'network', 'issue')",1
"('file', 'ask', 'admin', 'credential')",1
"('new', 'start', 'adam', 'goodall')",1
"('current', 'month', 'march', 'circuit')",2
"('outlook', 'not', 'work', 'laptop')",1
"('access', 'ec', 'communication', 'room')",1
"('tool', 'nimsoft', 'request', 'enable')",1
"('wipro', 'device', 'mdc', 'monitor')",1
"('add', 'laptop', 'host', 'mbam')",10
"('able', 'rdp', 'mention', 'server')",2
"('link', 'kindly', 'check', 'date')",1
"('wipro', 'mumbai', 'andheri', 'secondary')",1
"('issue', 'connect', 'client', 'vdis')",1
"('da', 'not', 'work', 'ticket')",1
"('month', 'utilization', 'report', 'circuit')",2
"('migrate', 'migrate', 'facing', 'issue')",1
"('need', 'citi', 'utilization', 'report')",1
"('mb', 'bandwidth', 'class', 'ec')",1
"('switch', 'ip', 'secondary', 'firewal')",1
"('fs', 'file', 'server', 'appear')",1
"('not', 'work', 'citi', 'policy')",1
"('login', 'page', 'do', 'not')",1
"('dl', 'not', 'receive', 'specific')",1
"('social', 'medium', 'site', 'facebook')",1
"('boot', 'standby', 'laptop', 'need')",1
"('ip', 'port', 'tcp', 'nat')",2
"('mailbox', 'issue', 'find', 'attachment')",1
"('datum', 'vlan', 'voice', 'vlan')",1
"('anti', 'virus', 'issue', 'get')",1
"('mgh', 'odc', 'user', 'face')",1
"('suprta', 'sarkar', 'sjp', 'block')",1
"('remotely', 'intranet', 'server', 'important')",1
"('would', 'pass', 'system', 'issue')",1
"('wing', 'switch', 'coimbatore', 'location')",1
"('mail', 'box', 'coverted', 'office')",1
"('ask', 'admin', 'credential', 'transferring')",1
"('free', 'ip', 'require', 'idrac')",1
"('shanghai', 'odc', 'network', 'setup')",1
"('homed', 'link', 'mar', 'business')",1
"('help', 'user', 'symentec', 'issue')",1
"('not', 'receive', 'specific', 'host')",1
"('server', 'not', 'synch', 'blackberry')",1
"('network', 'signal', 'issue', 'check')",1
"('configure', 'snmp', 'ip', 'follwo')",2
"('live', 'meeting', 'not', 'work')",1
"('blackberry', 'office', 'server', 'group')",1
"('device', 'intermittently', 'assign', 'engineer')",1
"('dell', 'charger', 'need', 'replace')",1
"('not', 'able', 'comunicate', 'domain')",1
"('can', 'not', 'able', 'access')",1
"('hyper', 'link', 'not', 'work')",1
"('password', 'not', 'able', 'log')",2
