,0
"('not', 'reachable', 'wtvgkdc')",1
"('federation', 'access', 'user')",1
"('need', 'setup', 'detail')",1
"('connect', 'vpn', 'can')",1
"('packet', 'shaper', 'detail')",1
"('backbone', 'server', 'access')",1
"('not', 'able', 'log')",3
"('laptop', 'login', 'issue')",4
"('internet', 'user', 'count')",1
"('maxi', 'ss', 'ec')",1
"('problem', 'blue', 'coat')",1
"('work', 'iam', 'unable')",1
"('sondhi', 'mywipro', 'not')",1
"('link', 'outage', 'hp')",1
"('ucpticket', '-PRON-', 'would')",1
"('not', 'get', 'update')",2
"('cvs', 'proxy', 'issue')",1
"('dhcp', 'server', 'creation')",1
"('laptop', 'os', 'install')",1
"('migrate', 'migrate', 'facing')",1
"('help', 'get', 'february')",1
"('need', 'tacacs', 'log')",1
"('need', 'join', 'kdc')",1
"('assiston', 'manager', 'correct')",1
"('kindly', 'check', 'vpn')",1
"('server', 'not', 'accessible')",1
"('login', 'logout', 'immediately')",1
"('need', 'add', 'mention')",1
"('ip', 'destination', 'ip')",2
"('user', 'want', 'add')",1
"('raise', 'behalf', 'usertet')",1
"('bandwidth', 'report', 'current')",2
"('raise', 'behalf', 'userma')",1
"('server', 'check', 'asap')",1
"('needful', 'mac', 'bb')",1
"('latency', 'dana', 'peer')",1
"('ecinternet', 'firewall', 'share')",2
"('guest', 'internet', 'user')",1
"('work', 'travel', 'customer')",1
"('destination', 'contain', 'authentication')",1
"('kindly', 'configure', 'snmp')",2
"('check', 'priority', 'work')",1
"('customer', 'requirement', 'finalize')",1
"('kindly', 'user', 'priority')",1
"('reliance', 'usage', 'utlization')",1
"('would', 'loop', 'vasanth')",1
"('impact', 'work', 'regard')",1
"('primary', 'secondary', 'link')",1
"('issue', 'resolve', 'user')",1
"('work', 'internet', 'explorer')",1
"('detail', 'shortly', 'meanwhi')",1
"('shaper', 'shaping', 'issue')",1
"('img', 'gnoc', 'january')",1
"('pc', 'access', 'mac')",1
"('ftr', 'approver', 'change')",1
"('description', 'uplinktotflact', 'switchport')",1
"('switch', 'fan', 'issue')",1
"('macfee', 'port', 'opening')",1
"('ts', 'destination', 'ip')",1
"('mcafee', 'not', 'upto')",1
"('add', 'laptop', 'host')",10
"('rdp', 'access', 'virtual')",1
"('ip', 'url', 'domain')",1
"('port', 'destination', 'source')",1
"('enable', 'access', 'give')",1
"('wipro', 'sap', 'project')",1
"('box', 'need', 'configure')",1
"('not', 'reachable', 'ectgacl')",1
"('chennai', 'ckt', '-PRON-')",1
"('would', 'need', 'enable')",1
"('user', 'troubleshoot', 'symentec')",4
"('kindly', 'mat', 'laptop')",1
"('ecsccmfesp', 'ip', 'conflict')",1
"('savigent', 'server', 'detail')",2
"('class', 'refer', 'trail')",1
"('add', 'mention', 'device')",1
"('distribution', 'group', 'dl')",1
"('notification', 'new', 'message')",1
"('employee', 'rajat', 'onle')",1
"('-PRON-', 'be', 'password')",1
"('find', 'server', 'detail')",1
"('hostname', 'mbam', 'group')",1
"('display', 'current', 'project')",1
"('enable', 'rdp', 'access')",1
"('not', 'workig', 'laptop')",1
"('address', 'give', 'range')",1
"('issue', 'lync', 'sharing')",1
"('admin', 'vpn', 'feel')",1
"('server', 'creation', 'sonama')",1
"('address', 'schwab', 'sjp')",2
"('access', 'crenditial', 'wifi')",1
"('allow', 'ec', 'pasa')",1
"('wipro', 'mumbai', 'andheri')",1
"('like', 'enable', 'port')",1
"('secondary', 'packet', 'shaper')",1
"('os', 'installation', 'configuration')",2
"('face', 'network', 'issue')",3
"('card', 'port', 'not')",1
"('get', 'lot', 'time')",1
"('flash', 'drive', 'problem')",1
"('cdc', 'location', 'dhcp')",1
"('ie', 'degradation', 'outlook')",1
"('reach', 'yser', 'user')",1
"('plus', 'product', 'key')",1
"('client', 'meeting', 'bank')",1
"('room', 'audit', 'ntc')",1
"('kindly', 'share', 'monthly')",1
"('server', 'public', 'networkso')",2
"('bandwidth', 'class', 'ec')",2
"('emc', 'face', 'slowness')",1
"('server', 'detail', 'server')",1
"('local', 'account', 'unlocked')",1
"('comunicate', 'domain', 'properly')",1
"('check', 'ip', 'clash')",1
"('mail', 'server', 'connect')",1
"('issue', 'proxy', 'setting')",1
"('address', 'ne', 'remove')",1
"('ur', 'user', 'not')",1
"('work', 'usa', 'inbox')",1
"('firewall', 'block', 'access')",1
"('ectgacl', 'network', 'fluctuation')",1
"('domain', 'group', 'request')",1
"('laptop', 'not', 'boot')",6
"('kindly', 'upgrade', 'radio')",1
"('khobar', 'jeddah', 'location')",1
"('email', 'group', 'owner')",1
"('wifi', 'ap', 'schwab')",1
"('need', 'target', 'odc')",1
"('bayer', 'odc', 'new')",1
"('gndc', 'internet', 'site')",1
"('mother', 'board', 'need')",1
"('system', 'control', 'noc')",1
"('-PRON-', 'would', 'pass')",1
"('request', 'facetime', 'audio')",1
"('ectfb', 'wing', 'odc')",1
"('mywipro', 'application', 'not')",1
"('nimsoft', 'request', 'enable')",1
"('att', 'hub', 'router')",1
"('tjx', 'slow', 'ness')",1
"('block', 'activity', 'public')",1
"('admin', 'right', 'reinstallation')",1
"('hoofdorp', 'office', 'mbps')",1
"('ms', 'office', 'bit')",1
"('check', 'cpu', 'utilization')",1
"('meeting', 'bank', 'raj')",1
"('ip', 'address', 'pc')",1
"('network', 'slowness', 'reconnect')",1
"('scope', 'need', 'setup')",1
"('mother', 'board', 'issue')",4
"('description', 'bgp', 'trap')",1
"('remove', 'tape', 'frpm')",1
"('installation', 'standard', 'software')",1
"('intermittent', 'alert', 'sarjapur')",1
"('change', 'password', 'phone')",1
"('not', 'open', 'mail')",1
"('ms', 'project', 'bit')",2
"('user', 'vi', 'contact')",1
"('sit', 'tower', 'nd')",1
"('scope', 'detail', 'bby')",1
"('teresa', 'cullen', 'teresa')",1
"('need', 'nonroutable', 'ip')",1
"('connect', 'vpn', 'issue')",1
"('tranfer', 'manikonda', 'sez')",1
"('ip', 'detail', 'asap')",1
